name,idn,address,tvc,district,state,pincode,landline,website,h_email,h_name,h_designation,h_type,h_joining,h_te,h_re,h_ie,h_landline,h_fax,h_email
A M K TECHNOLOGICAL POLYTECHNIC COLLEGE,1-405645191,"PRINCIPAL  A M K TECHNOLOGICAL POLYTECHNIC COLLEGE  CHENNAI BANGALORE ROAD  SEMBARAMBAKKAM, THIRUVALLUR, SEMBARAMBAKKAM, Tamil Nadu, 600123",SEMBARAMBAKKAM,CHENNAI,Tamil Nadu,600123,44 - 26811411,www.amkpolytechnic.com,amktpc@gmail.com,VIJEY KISHOOR A,PRINCIPAL,Regular,01-Feb-10,25 years,1 years,0 years,44 - 26811411,26810411,amktpc@gmail.com
A P S COLLEGE OF ENGINEERING,1-5724943,"26 KM KANAKAPURA ROAD BANGALORE 82, BANGALORE URBAN, BANGALORE, Karnataka, 560082",BANGALORE,BANGALORE URBAN,Karnataka,560082,80 - 28432108,www.apsce.ac.in,principal@apsce.ac.in,RAVINDRANATH G,PRINCIPAL,Regular,19-Oct-11,32 years,6 years,0 years,80 - 28432108,28432837,PRINCIPAL@APSCE.AC.IN
A R INSTITUTE OF MANAGEMENT & TECHNOLOGY,1-35645144,"C-39, VAISHALI COLONY  GARH ROAD, MEERUT, MEERUT, Uttar Pradesh, 250001",MEERUT,MEERUT,Uttar Pradesh,250001,121 - 3260393,www.arimt.in,info@arimt.in,DR. R. K. AGARWAL,CHAIRMAN,Regular,02-Jul-15,39 years,18 years,0 years,121 - 3260393,4001061,praveenkumarmittal@yahoo.co.in
A S N PHARMACY COLLEGE,1-10850261,"ASN PHARMACY COLLEGE  BURRIPALEM ROAD,  TENALI - 522201, GUNTUR, TENALI, Andhra Pradesh, 522201",TENALI,GUNTUR,Andhra Pradesh,522201,8644 - 239595,www.asnpharmacollege.in,asnpharmacollege@rediffmail.com,VENKATA RAMANA KANCHARLAPALLI,PRINCIPAL,Regular,26-Oct-05,16 years,2 years,0 years,8644 - 239595,227878,asnpharmacollege@rediffmail.com
"A V COLLEGE OF ARTS,SCIENCE & COMMERCE",1-6572141,"H.NO 1-1-509/A, CLASSIC ENCLAVE, HYDERABAD, GANDHINAGAR, Telangana, 500080",HYDERABAD,HYDERABAD,Andhra Pradesh,500029,9140 - 65760591,www.avcollege.in,avpgcentre@gmail.com,YADAGIRI REDDY PALREDDY,ACADEMIC DIRECTOR,Regular,07-May-15,30 years,30 years,0 years,40 - 27037453,27610241,bucharp@yahoo.com
A V S COLLEGE OF TECHNOLOGY,1-1505869571,"AVS COLLEGE OF TECHNOLOGY, ATTUR MAIN ROAD, NEAR AVS COLLEGE OF ARTS AND SCIENCE, CHINNAGOUNDAPURAM, SALEM, SALEM, SALEM, Tamil Nadu, 636106",SALEM,SALEM,Tamil Nadu,636106,427 - 2911515,www.avstech.org,corresraja@yahoo.com,THOLKAPPIA ARASU GOVINDARAJAN,SECRETARY,Regular,27-Sep-15,15 years,2 years,2 years,427 - 2911515,2911900,corresraja@yahoo.com
A-ONE PHARMACY COLLEGE,1-434106351,"SNME CAMPUS,  OPP.ADISHWARNAGAR,NARODA., AHMEDABAD, AHMEDABAD, Gujarat, 382330",AHMEDABAD,AHMEDABAD,Gujarat,382330,2718 - 240232,www.snmecampus.org,a1pharmacy.anasan@gmail.com,DR.MANDEVBHAI PATEL,TRUSTEE,Regular,01-Dec-12,22 years,0 years,6 years,79 - 240232,240231,zaladhaval@gmail.com
A. J. INSTITUTE OF MANAGEMENT,1-2819951,"A.J.INSTITUTE OF MANAGEMENT, KOTTARA CHOWKI, BYPASS ROAD, ASHOK NAGAR POST, MANGALORE - 575006., DAKSHINA KANNADA, MANGALORE, Karnataka, 575006",MANGALORE,D KANNADA(DK),Karnataka,575006,824 - 2455340,www.ajimmangalore.ac.in,ajimmangalore@rediffmail.com,DR.T.JAYAPRAKASH RAO,DIRECTOR,Regular,28-Jun-08,30 years,12 years,0 years,824 - 2244114,8242455340,ajimmangalore@rediffmail.com
A. P. SHAH INSTITUTE OF TECHNOLOGY,1-1524174547,"A.P.SHAH INSTITUTE OF TECHNOLOGY, SURVEY NO. 12, OPP. HYPERCITY MALL, KASARVADAVALI, GHODBUNDER ROAD, THANE (W) - 400615, THANE, THANE, Maharashtra, 400615",THANE,MUMBAI SUBURBAN,Maharashtra,400615,22 - 2225973737,www.apsit.org.in,principal@apsit.org.in,UTTAM KOLEKAR,PRINCIPAL,Regular,22-Aug-14,18 years,5 years,1 years,22 - 25973738,25973739,principal@apsit.org.in
"A. SHAMA RAO FOUNDATIONS' GROUP OF INSTITUTIONS, SRINIVAS INTEGRATED CAMPUS",1-6872884,"#2/271,'NANDADEEPA',NANDAGOKULA, KARANGRAPADY POST, UDUPI, UDUPI, Karnataka, 574118",MANGALORE,D KANNADA(DK),Karnataka,574146,824 - 2477456,www.srinivasgroup.com,principalsse@srinivasgroup.com,Dr. SHREEPRAKASH B,ASSOCIATE DIRECTOR,Regular,01-May-09,27 years,5 years,0 years,824 - 2477456,2477457,principalsse@srinivasgroup.com
A. V. PAREKH TECHNICAL INSTITUTE,1-444204141,"AVPTI  OPP. HEMU GADHAVI HALL, TAGORE ROAD, AJKOT, RAJKOT, RAJKOT, Gujarat, 360001",RAJKOT,GANDHINAGAR,Gujarat,360001,281 - 2464530,www.avpti.org,avpti1948@yahoo.com,ASHIT PANDYA,PRINCIPAL,Regular,22-Dec-15,24 years,10 years,1 years,281 - 2464530,2464530,avpti1948@yahoo.com
A. Y. DADABHAI TECHNICAL INSTITUTE,1-404292091,"12/1496,SHAHPORE,SURAT, SURAT, SURAT, Gujarat, 395003",KOSAMBA (R.S.),SURAT,Gujarat,394120,2629 - 235951,www.aydadabhaitech.org,aydtech@yahoo.com,MOHAMED HANIF DALCHAWAL,DIRECTOR,Regular,06-Mar-09,35 years,0 years,0 years,261 - 2422973,2629235955,hanifmhabib@yahoo.com
A.A.N.M. & V.V.R.S.R. POLYTECHNIC,1-399048571,"SESHADRI RAO KNOWLEDGE VILLAGE  GUDLAVALLERU, KRISHNA DIST,AP, KRISHNA, GUDLAVALLERU, Andhra Pradesh, 521356",GUDLAVALLERU,KRISHNA,Andhra Pradesh,521356,8674 - 8674273366,www.aanm-vvrsrpolytechnic.ac.in,aanmvvrsrpolytechnic@gmail.com,S.S.V.RAMANJANEYULU NIMMAGADDA,SECRETARY & CORRESPONDENT,Regular,01-Mar-02,30 years,0 years,0 years,8674 - 273366,8674273338,aanmvvrsr.vallurupalli@gmail.com
A.C.T COLLEGE OF ENGINEERING AND TECHNOLOGY,1-30022324,"2070,VASANTHAM COLONY, 1ST STREET,, CHENNAI, ANNA NAGAR, Tamil Nadu, 600040",CHENNAI,CHENNAI,Tamil Nadu,603107,44 - 27293090,www.actcet.com,acttrust@yahoo.com,SUKUMARAN B,CHAIRMAN,Regular,08-Jan-16,17 years,0 years,0 years,44 - 27293895,26533219,acttrust@yahoo.com
A.D.J.DHARMAMBAL POLYTECHNIC COLLEGE,1-411302291,"A.R.GANESAN  12-ADJJ AVENUE, KADAMBADI,NAGAPATTINAM, NAGAPATTINAM, NAGAPATTINAM, Tamil Nadu, 611001",NAGAPATTINAM,NAGAPATTINAM,Tamil Nadu,611001,4365 - 248161,www.adjedtec.com,adjdwpt@yahoo.com,A.R. GANESAN RAMANATHAN,PRINCIPAL-INCHARGE,Regular,25-Aug-89,23 years,0 years,0 years,4365 - 248820,248161,adjdwpt@gmail.com
A.D.PATEL INSTITUTE OF TECHNOLOGY,1-7126777,"PRINCIPAL'S BUNGLOW, ADIT CAMPUS, PO BOX 52, VITTHAL UDYOG NAGAR,DIST ANAND, GUJARAT 388121, ANAND, NEW V V NAGAR, Gujarat, 388121",ANAND,ANAND,Gujarat,388121,2692 - 233680,www.adit.ac.in,principal@adit.ac.in,RAJEEVKUMAR JAIN,PRINCIPAL,Regular,11-Apr-05,33 years,33 years,0 years,2692 - 238445,238180,principal@adit.ac.in
A.D.R.S. INSTITUTE OF TECHNOLOGY & MANAGEMENT,1-506058351,"1/63, BANNA DEVI,  ALIGARH, ALIGARH, ALIGARH, Uttar Pradesh, 202001",NAGALIAYA PALLA SALLU,ALIGARH,Uttar Pradesh,203638,571 - 2511190,www.adrsaligarh.com,adrsitm1@gmail.com,SUBHASH CHANDRA,SECRETARY,Regular,24-Jul-10,11 years,0 years,0 years,571 - 2902444,2512881,adrsitm1@gmail.com
A.G.M RURAL COLLEGE OF ENGINEERING AND TECHNOLOGY,1-5209661,"YATRI NIVAS, AGMRCET, NAVGRAHTEERTH, VARUR, DHARWAD, HUBLI, Karnataka, 581207",VARUR,DHARWAD,Karnataka,581207,836 - 2312071,www.agmrcet.ac.in,navgrahterth@yahoo.com,SUNIL KUMAR.D,PRINCIPAL,Regular,15-Jul-14,15 years,5 years,10 years,836 - 2312061,2312061,dsk.bce@gmail.com
A.G.M.RURAL POLYTECHNIC,1-461684541,"OPP VRL HEAD OFFICE, NH-4,BANGALORE ROAD NAVAGRAH TEERTH VARUR,, DHARWAD, VARUR VILLAGE, Karnataka, 581207",VARUR VILLAGE,DHARWAD,Karnataka,581207,836 - 2312071,www.agmrcet.com,navgrahterth@yahoo.com,RAGHVENDRA RAO,PRESIDENT,Regular,14-Jun-11,36 years,0 years,6 years,836 - 2312071,2312061,navgrahterth@yahoo.com
A.G.PATIL POLYTECHNIC INSTITUTE,1-425580821,"A.G. PATIL POLYTECHNIC INSTITUE, 18/2/2A, OPP.SRP CAMP,VIJAPUR ROAD, SOLAPUR, SOLAPUR, SOLAPUR, Maharashtra, 413004",SOLAPUR,SOLAPUR,Maharashtra,413004,217 - 2341899,www.agppi.com,agppi.contact@rediffmail.com,MAHADEO CHOUGULE,PRINCIPAL,Regular,09-Mar-09,29 years,3 years,2 years,217 - 2341899,2342220,chougulema@yahoo.co.in
A.I.'S MOHAMMED HAJI SABOO SIDDIK POLYTECHNIC,1-461316291,"B/402, SHIRIN VILLA, MUMBRA, THANE, THANE, Maharashtra, 400612",MUMBAI,MUMBAI CITY,Maharashtra,400008,22 - 23084481,www.mhssp.in,principal.mhssp@yahoo.com,JAVED MOHAMMED,PRINCIPAL I/C,Incharge,09-Sep-93,21 years,0 years,0 years,22 - 23052252,23070924,principal_mhssp@rediffmail.com
"A.J.M.V.P.S., INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY.",1-12373983,"CHARUSHEELA, GAJANAN HOUSING SOCIETY,STATION ROAD., AHMEDNAGAR, AHMEDNAGAR, Maharashtra, 414001",AHMEDNAGAR,AHMEDNAGAR,Maharashtra,414001,241 - 2326778,www.ihmct-anr.com,ajmvps_ihmct@hotmail.com,NANDKUMAR JAGTAP,SECRETARY,Acting,01-Jul-97,35 years,7 years,0 years,241 - 2326778,2329649,ajmvps_ihmct@hotmail.com
A.K.R.G COLLEGE OF PHARMACY,1-5436091,"NALLAJERLA, WEST GODAVARI, NALLAJERLA, Andhra Pradesh, 534112",NALLAJERLA,WEST GODAVARI,Andhra Pradesh,534112,8818 - 277995,www.akrgpharmacy.ac.in,akrgpharmacycollege@gmail.com,VIJAYA KUMAR GHANTA,PRINCIPAL,Regular,20-Jun-09,16 years,7 years,0 years,8818 - 277995,277992,akrgpharmacycollege@gmail.com
A.K.R.G. COLLEGE OF ENGINEERING & TECHNOLOGY,1-5399421,"NALLAJERLA,  WEST GODAVARI DT., WEST GODAVARI, NALLAJERLA, Andhra Pradesh, 534112",NALLAJERLA,WEST GODAVARI,Andhra Pradesh,534112,8818 - 277991,www.akrgengineering.ac.in,akrgcet@gmail.com,VENKATA CHALAPATHI PASUPULETI,PRINCIPAL,Regular,12-Nov-15,15 years,5 years,4 years,8818 - 277995,277996,akrgcet@gmail.com
A.K.T. MEMORIALPOLYTECHNIC COLLEGE,1-456830121,"NO.26 RAJAMBAL NAGAR, SALEM MAIN ROAD, VILUPPURAM, KALLAKURICHI, Tamil Nadu, 606202",KALLAKURICHI,VILUPPURAM,Tamil Nadu,606202,4151 - 225655,www.aktpolytechnic.com,aktplacement749@gmail.com,KABILAR P K,CORRESPONDENT,Regular,01-Jul-10,18 years,0 years,0 years,4151 - 225655,226751,aktmemorial@yahoo.co.in
A.K.T.MEMORIAL COLLEGE OF ENGINEERING & TECHNOLOGY,1-17747367,"NO.26,RAJAMBAL NAGAR, SALEM MAIN ROAD, KALLKURICHI, VILUPPURAM, KALLKURICHI, Tamil Nadu, 606202",KALLAKURICHI,VILUPPURAM,Tamil Nadu,606202,4151 - 227077,www.aktengg.in,aktengg@yahoo.in,VIJAYARAJ K,CHAIRMAN,Regular,23-Jan-15,18 years,0 years,2 years,4151 - 227077,226751,aktmemorial@yahoo.co.in
A.M.C. ENGINEERING COLLEGE,1-5220016,"PRINCIPAL, AMC ENGINEERING COLLEGE,18KM,BANNERAGHATTA ROAD, BANGALORE, BANGALORE URBAN, BANGALORE, Karnataka, 560083",BANGALORE,BANGALORE URBAN,Karnataka,560083,80 - 27828655,www.amcec.edu.in,principal@amcec.edu.in,SREENIVASA THAPPAGANADODDI,PRINCIPAL,Regular,15-Jan-09,24 years,6 years,0 years,80 - 27828655,27828656,principal@amcec.edu.in
A.M.REDDY MEMORIAL COLLEGE OF ENGINEERING& TECHNOLOGY,1-456138111,"A.M REDDY EDUCATIONAL SOCIETY  PETLURIVARIPALEM  NARASARAOPET, GUNTUR, NARASARAOPET, Andhra Pradesh, 522601",NARASARAOPET,GUNTUR,Andhra Pradesh,522601,8647 - 247190,www.amreddyengineering.com,principal@amreddyengineering.com,DR.TAMILARASAN S,SECRETARY,Regular,06-Oct-14,18 years,6 years,0 years,8647 - 247190,247192,SANTHIATLURI@YAHOO.COM
A.M.REDDY MEMORIAL COLLEGE OF PHARMACY,1-458243421,"A.M.REDDY MEMORIAL COLLEGE OF PHARMACY, GUNTUR, PETLURIVARIPALEM,NARASARAOPET, Andhra Pradesh, 522601",NARASARAOPET,GUNTUR,Andhra Pradesh,522601,8647 - 247195,www.amreddypharmacy.com,amrcp@yahoo.com,SUDHAKAR BABU DR.AKULA,SECRETARY,Regular,01-Dec-10,11 years,4 years,0 years,8647 - 247195,247192,santhiatluri@yahoo.com
A.N.A COLLEGE OF ENGINEERING AND MANAGEMENT STUDIES,1-7162981,"35M/8 RAMPUR GARDEN, BAREILLY, BAREILLY, Uttar Pradesh, 243001",BAREILLY,BAREILLY,Uttar Pradesh,243001,581 - 2909006,www.anacollge.org,info@anacollge.org,KAMAL KANT SINGH,MEMBER,Regular,19-Jul-10,25 years,6 years,3 years,581 - 2511717,2909006,rahulz_anand@yahoo.com
A.N.A COLLEGE OF MANAGEMENT STUDIES,1-5473501,"35M/8 RAMPUR GARDEN, BAREILLY, BAREILLY, Uttar Pradesh, 243001",BAREILLY,BAREILLY,Uttar Pradesh,243001,581 - 2909006,www.anacollege.org,info@anacollege.org,RAJEEV KUMAR DIXIT,MEMBER,Regular,22-Dec-12,14 years,4 years,4 years,581 - 2567878,2909006,rahulz_anand@yahoo.com
A.P.GOVERNMENT INSTITUTE OF LEATHER TECHNOLOGY,1-463865741,"PRINCIPAL  AP GOVT. INST. OF LEATHER TECH.  H.S.DARGA GOLCONDA POST  HYDERABAD 500008, RANGAREDDI, HYDERABAD, Telangana, 500008",HYDERABAD,HYDERABAD,Andhra Pradesh,500008,40 - 23563972,www.hyderabadleathergovtpoly.nic.in,gilt053@gmail.com,KUMARASWAMI K,PRINCIPAL,Regular,18-Sep-14,33 years,0 years,2 years,40 -,4023391133,gilt053@gmail.com
A.P.M.C. COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH,1-4813295,"GOKULNAGAR,MAHAVIRNAGAR,, SABARKANTHA, HIMATNAGAR, Gujarat, 383001",HIMATNAGAR,SABARKANTHA,Gujarat,383001,2772 - 229674,www.apmccper.org,apmccper@gmail.com,DR DUSHYANT SHAH,PRINCIPAL,Regular,05-Jan-05,33 years,24 years,1 years,2772 - 231447,229674,pharmedu@gmail.com
A.P.S.COLLEGE OF EDUCATION & TECHNOLOGY,1-476053711,"R/O 24/127, DR. SANJAY WALI GALI, GANDHI ROAD, BARAUT, DISTT.BAGHPAT,U.P., BAGPAT, BAGHPAT, Uttar Pradesh, 250611",SARDHANA/MEERUT/KHIVAI,MEERUT,Uttar Pradesh,250344,1237 - 235977,www.apsgroup.org,peaush.aps@rediffmail.com,MUKESH RAWAT MR.,SECRETARY,Regular,15-Feb-11,8 years,1 years,3 years,121 - 235977,2634512,peaush.aps@rediffmail.com
A.R COLLEGE OF ENGINEERING & TECHNOLOGY,1-452090031,"A.R COLLEGE OF ENGINEERING & TECHNOLOGY,  KADAYAM., TIRUNELVELI, THERKKUMADATHUR, Tamil Nadu, 627423",THERKKUMADATHUR,TIRUNELVELI,Tamil Nadu,627423,4634 - 240770,www.arcet.org,info@arcet.org,SUDARSAN NAGARAJAN,CHAIRMAN,Regular,25-Mar-10,26 years,8 years,3 years,4634 - 240770,240772,arcet1@yahoo.com
A.R.COLLEGE OF PHARMACY & G.H.PATEL INSTITUTE OF PHARMACY,1-5747631,"2, CVM PRINCIPAL BUNGLOW, OPP. NUTAN CLUB, NANA BAZAR, VALLABH VIDYANAGAR, ANAND, ANAND, Gujarat, 388120",ANAND,ANAND,Gujarat,388120,2692 - 230788,www.arghpharmacy.ac.in,arghpharmacy@yahoo.co.in,AJAY KUMAR SALUJA,PRINCIPAL,Regular,05-Mar-86,36 years,36 years,0 years,2692 - 233990,230788,akspharmacy@yahoo.com
A.R.ENGINEERING COLLEGE,1-4168991,"14, PADMA BHAVANAM, ATTINKARAI, MANAVALAKURICHI,  KANYAKUMARI  629 252., KANYAKUMARI, NAGARCOIL, Tamil Nadu, 629252",VILLUPURAM,VILUPPURAM,Tamil Nadu,605601,4146 - 232131,www.arenggc.com,arec.svet@gmail.com,PADMALAL S SAKTHIDHARAN,PRINCIPAL,Regular,01-May-15,18 years,0 years,0 years,4146 - 232121,232131,splaal71@gmail.com
A.R.J COLLEGE OF ENGINEERING AND TECHNOLOGY,1-4252413,"A.R.J COLLEGE OF ENGINEERING AND TECHNOLOGY  THIRUMAKKOTTAI MAIN ROAD,  EDAYARNATHAM VILLAGE., THIRUVARUR, MANNARGUDI, Tamil Nadu, 614001",MANNARGUDI,CHENNAI,Tamil Nadu,614001,4367 - 223333,www.arj.edu.in,arjcet@arj.edu.in,RAVIKUMAR PARAMASIVAM,PRINCIPAL,Regular,18-Jun-15,16 years,2 years,9 years,4367 - 223333,228888,principalcet@arj.edu.in
A.R.J INSTITUTE OF MANAGEMENT STUDIES,1-5883726,"THIRUMAKKOTTAI MAIN ROAD,  EDAYARNATHAM., THIRUVARUR, MANNARGUDI, Tamil Nadu, 614001",MANNARGUDI,CHENNAI,Tamil Nadu,614001,4367 - 224444,www.arj.edu.in,arjims@arj.edu.in,S. MURUGADOSS DR.,DIRECTOR,Regular,02-Jun-08,13 years,0 years,2 years,4367 - 224444,228888,"arjims@arj.edu.in, arjms2013@gmail.com"
A.R.J POLYTECHNIC COLLEGE,1-431277511,"A.R.J POLYTECHNIC COLLEGE  EDAYARNATHAM,  THIRUMAKKOTTAI MAIN ROAD,  MANNARGUDI-614001, THIRUVARUR, TOWN, Tamil Nadu, 614001",MANNARGUDI,CHENNAI,Tamil Nadu,614001,4367 - 223333,www.arj.edu.in,principalpc@arj.edu.in,SENTHILVELAN N,PRINCIPAL,Regular,04-Jan-16,11 years,0 years,4 years,4367 - 223333,228888,principal587@gmial.com
A.S.GROUP OF INSTITUTIONS,1-5483831,"#1673/32 NAI ABADI, KHANNA, LUDHIANA, KHANNA, Punjab, 141401",KHANNA,LUDHIANA,Punjab,141402,1628 - 236020,www.asinstitutes.com,asgi1932@gmail.com,HARPREET SINGH,DIRECTOR,Regular,24-Jul-10,6 years,3 years,10 years,1628 - 236020,236021,asgi1932@gmail.com
A.S.N.DEGREE COLLEGE(MCA),1-4886911,"PLOT NO.301,SRINIVASAM RESIDENCY,CHENCHUPET,TENALI, GUNTUR, TENALI, Andhra Pradesh, 522201",TENALI,GUNTUR,Andhra Pradesh,522201,8644 - 235152,www.asndc.in,ramkolasani@yahool.com,RAMCHAND H RAO KOLASANI,DIRECTOR,Regular,01-Apr-00,21 years,5 years,3 years,8644 - 235152,235152,ramkolasani@gmail.com
A.S.N.WOMEN S ENGINEERING COLLEGE,1-3761464,"SAKAMURI VARI STREET, BURIPALEM   ROAD,TENALI, GUNTUR, TENALI, Andhra Pradesh, 522201",TENALI,GUNTUR,Andhra Pradesh,522201,8644 - 645464,www.asnwengg.in,asnwec@gmail.com,NAGESWARA RAO GHATTAMANENI,PRINCIPAL,Regular,17-Jun-09,32 years,4 years,0 years,8644 - 225856,235152,nrghattamaneni@yahoo.com
A.U.COLLEGE OF PHARMACEUTICAL SCIENCES,1-491346501,"PRINCIPAL A.U.COLLEGE OF PHARMACEUTICAL SCIENCES , ANDHRA UNIVERSITY, VISHAKHAPATNAM, VISAKHAPATNAM, Andhra Pradesh, 530003",VISAKHAPATNAM,VISHAKHAPATNAM,Andhra Pradesh,530003,891 - 2844922,www.andhrauniversity.info,ganga.battu@gmail.com,GANGA RAO BATTU,PRINCIPAL,Regular,15-Mar-94,26 years,20 years,0 years,891 - 2844922,2525611,ganga.battu@gmail.com
A.V.C.COLLEGE OF ENGINEERING,1-3285877,"NO 1/15 GURUGNANASAMBANDAR NAGAR   (NEAR MAYURANATHAR SOUTH STREET)    MAYILADUTHURAI  - 609001, NAGAPATTINAM, MAYILADUTHURAI, Tamil Nadu, 609001",MAYILADUTHURAI,NAGAPATTINAM,Tamil Nadu,609305,4364 - 227202,www.avccengg.net,avcce@avccengg.net,SUNDARRAJ C,SECRETARY,Regular,19-Nov-11,32 years,9 years,0 years,4364 - 224202,227299,avcce@avccengg.net
